'0908W,CHAMPAGNE,,,,,,,,4,,,,,,,,,,,,,,,
'0910W,BLACK/WHITE DOT,,,,,,,,,,,,4,5,2,1,,,,,,,,
'0914VW,BLUE,,,,,,,,1,,1,,,,,,,,,,,,,
'0915,BLUE,,,1,,,,,,,,,,,,,,,,,,,,
'0918,NAVY,,1,7,,,,,,,,,,,,,,,,,,,,
'0919,FUCHSIA,,6,,,,,,,,,,,,,,,,,,,,,
'0919,BLACK,,5,,,,,,,,,,,,,,,,,,,,,
D1320,MUSTARD/GOLD,,,,,,,,,,,,,,,,,,,,,,,1
D1321,BLACK,,,,,,,,,,,,,,,,,,,3,,3,,
D1321,WHITE,,,,,,,,,,,,,,,,,,,3,,,2,
D1322,DENIM DOT,,,,,,,,,,,,,,,,,,,1,3,,3,
