IN,Supplier Sku,YES,Quantity,Blank,Blank,Blank,Blank,Decription,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,SKU,JCPENNEY
IN,0654W-WHITE-14W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710612,JCPENNEY
IN,0654W-WHITE-16W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710620,JCPENNEY
IN,0654W-WHITE-18W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710638,JCPENNEY
IN,0654W-WHITE-20W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710646,JCPENNEY
IN,0654W-WHITE-22W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710653,JCPENNEY
IN,0654W-WHITE-24W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710661,JCPENNEY
IN,0654W-WHITE-26W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710679,JCPENNEY
IN,0711-LIME-10,Yes,0,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570067,JCPENNEY
IN,0711-LIME-12,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570075,JCPENNEY
IN,0711-LIME-14,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570083,JCPENNEY
IN,0711-LIME-16,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570091,JCPENNEY
IN,0711-LIME-18,Yes,0,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570109,JCPENNEY
IN,0711-NAVY-10,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570265,JCPENNEY
IN,0711-NAVY-12,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570273,JCPENNEY
IN,0711-NAVY-14,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570281,JCPENNEY
IN,0711-NAVY-16,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570299,JCPENNEY
IN,0711-NAVY-18,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570307,JCPENNEY
IN,0711-NAVY-8,Yes,0,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501570257,JCPENNEY
IN,0711W-LIME-14W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580018,JCPENNEY
IN,0711W-LIME-16W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580026,JCPENNEY
IN,0711W-LIME-18W,Yes,0,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580034,JCPENNEY
IN,0711W-LIME-20W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580042,JCPENNEY
IN,0711W-LIME-22W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580059,JCPENNEY
IN,0711W-LIME-24W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580067,JCPENNEY
IN,0711W-NAVY-14W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580216,JCPENNEY
IN,0711W-NAVY-16W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580224,JCPENNEY
IN,0711W-NAVY-18W,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580232,JCPENNEY
IN,0711W-NAVY-20W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580240,JCPENNEY
IN,0711W-NAVY-22W,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580257,JCPENNEY
IN,0711W-NAVY-24W,Yes,3,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580265,JCPENNEY
IN,0711W-NAVY-26W,Yes,2,,,,,2PC SKRT SUIT,,,,,,,,,,,,,,81501580273,JCPENNEY
IN,0825-BLACK-10,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590067,JCPENNEY
IN,0825-BLACK-12,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590075,JCPENNEY
IN,0825-BLACK-14,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590083,JCPENNEY
IN,0825-BLACK-16,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590091,JCPENNEY
IN,0825-BLACK-18,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590109,JCPENNEY
IN,0825-BLACK-8,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590059,JCPENNEY
IN,0825-CHOCO-10,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590265,JCPENNEY
IN,0825-CHOCO-12,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590273,JCPENNEY
IN,0825-CHOCO-14,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590281,JCPENNEY
IN,0825-CHOCO-16,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590299,JCPENNEY
IN,0825-CHOCO-18,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590307,JCPENNEY
IN,0825-CHOCO-8,Yes,2,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501590257,JCPENNEY
IN,0825W-BLACK-14W,Yes,2,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600018,JCPENNEY
IN,0825W-BLACK-16W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600026,JCPENNEY
IN,0825W-BLACK-18W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600034,JCPENNEY
IN,0825W-BLACK-20W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600042,JCPENNEY
IN,0825W-BLACK-22W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600059,JCPENNEY
IN,0825W-BLACK-24W,Yes,3,,,,,3PC SKRT SUIT,,,,,,,,,,,,,,81501600067,JCPENNEY
