OS CODE,WINFA CODE,COLOR,SIZE,,,,
G1017W-Blk/Wht-22W,,,,,,,
G1017W-Blk/Wht-24W,,,,,,,
G1017-Wht/Blk-10,,,,,,,
G1017-Wht/Blk-12,,,,,,,
G1017-Wht/Blk-14,,,,,,,
G1017-Wht/Blk-16,,,,,,,
G1017-Wht/Blk-18,,,,,,,
G1017W-Wht/Blk-14W,,,,,,,
G1017W-Wht/Blk-16W,,,,,,,
G1017W-Wht/Blk-18W,,,,,,,
G1017W-Wht/Blk-20W,,,,,,,
G1017W-Wht/Blk-22W,,,,,,,
G1017W-Wht/Blk-24W,,,,,,,
G1018-Black-10,G1018,BLK,,,,,
G1018-Black-12,G1018,BLK,,,,,
G1018-Black-14,G1018,BLK,,,,,
G1018-Black-16,G1018,BLK,,,,,
G1018-Black-18,G1018,BLK,,,G1018,WHT,
G1018-Cran-10,G1018,CRAN,,,,,
G1018-Cran-12,G1018,CRAN,,,,,
G1018-Cran-14,G1018,CRAN,,,,,
G1018-Cran-16,G1018,CRAN,,,,,
G1018-Cran-18,G1018,CRAN,,,,,
G1018-Ginger-10,G1018,GINGER,,,,,
G1018-Ginger-12,G1018,GINGER,,,,,
G1018-Ginger-14,G1018,GINGER,,,,,
G1018-Ginger-16,G1018,GINGER,,,,,
G1018-Ginger-18,G1018,GINGER,,,,,
G1018-Lime-10,,,,,,,
G1018-Lime-12,,,,,,,
G1018-Lime-14,,,,,,,
G1018-Lime-16,,,,,,,
G1018-Lime-18,,,,,,,
G1018-Navy-10,,,,,,,
