Name,Address,City,State,Zip
Majority Baptist Church,PO Box 6032,Spartanburg,SC,29304
Morningside Baptist Church,897 S Pine St,Spartanburg,SC,29302
Mount Moriah Baptist Church,PO Box 1615,Anderson,SC,29622
Mount Pleasant Baptist Church,635 Mt Pleasant Rd,Spartanburg,SC,29307
Mountain View Baptist Church,111 Cagle St,Greenville,SC,29601
New Bedford Baptist Church,PO Box 160158,Spartanburg,SC,29316
Northview Baptist Church,1025 Howard St,Spartanburg,SC,29303
Oak Grove Baptist Church,533 Hayride Rd,Gilbert,SC,29054
Parkway Free Will Baptist Chr,3615 Parris Bridge Rd,Spartanburg,SC,29316
Peace Free Will Baptist Church,897 3rd Loop Rd,Florence,SC,29505
Peach Valley Baptist Church,105 Burns Rd,Spartanburg,SC,29307
Saxon Baptist Church,2 Front St,Spartanburg,SC,29301
Spartanburg Community Church,187 N Church St,Spartanburg,SC,29306
St Paul Baptist Church,645 Old Howard Gap Rd,Spartanburg,SC,29303
West Side Baptist Church,2100 Platt Springs Rd,West Columbia,SC,29169
Westgate Baptist Church,1990 Old Reidville Rd,Spartanburg,SC,29301
Catholic Church-Jesus Our Rsn,PO Box 17059,Spartanburg,SC,29301
St Paul's Catholic Church,161 N Dean St,Spartanburg,SC,29302
Central Church of Christ,2052 N Church St Pl,Spartanburg,SC,29303
Sigsbee Church of Christ,PO Box 8419,Spartanburg,SC,29305
Episcopal Church of the Advent,141 Advent St,Spartanburg,SC,29302
St Christopher's Episcopal Chr,400 Dupre Dr,Spartanburg,SC,29307
St Francis Parish-Anglican,601 Webber Rd,Spartanburg,SC,29307
St Margaret's Episcopal Church,PO Box 160024,Spartanburg,SC,29316
Holy Communion Lutheran Church,1430 John B White Sr Blvd,Spartanburg,SC,29306
Joy Lutheran Church,3211 Reidville Rd,Spartanburg,SC,29301
Arch Street Ame Zion Church,501 Arch St,Spartanburg,SC,29301
Beaumont United Methodist Chr,687 N Liberty St,Spartanburg,SC,29303
Ben Avon United Methodist Chr,2362 Avondale Dr,Spartanburg,SC,29302
Bethel United Methodist Church,27 PO Box,Pelion,SC,0
Bunton Institutional Cme Chr,500 Wofford St,Spartanburg,SC,29301
Cannons Campground United Meth,3450 Cannons Campground Rd,Spartanburg,SC,29307
Central United Methodist Chr,PO Box 87,Florence,SC,29503
Gravely Memorial United Meth,7400 Lone Oak Blvd,Spartanburg,SC,29303
New Beginnings United Meth,210 Rainbow Lake Rd,Spartanburg,SC,29316
Silver Hill Meml United Meth,778 John B White Sr Blvd,Spartanburg,SC,29306
Skylyn United Methodist Church,1415 Skylyn Dr,Spartanburg,SC,29307
St Luke United Methodist Chr,105 McKay Ave,Spartanburg,SC,29302
St Paul United Methodist Chr,600 Main St S,New Ellenton,SC,29809
United Methodist Chr-the Cvnnt,9020 Asheville Hwy,Spartanburg,SC,29316
Mt Zion Baptist Church,1883 S Pamplico Hwy,Pamplico,SC,29583
Promised Land Ministries,PO Box 170393,Spartanburg,SC,29301
St Nicholas Greek Orthodox Chr,PO Box 1107,Spartanburg,SC,29304
Bethel Assembly of God,PO Box 4085,Spartanburg,SC,29305
Church of God N Spartanburg,2069 Chesnee Hwy,Spartanburg,SC,29303
Community Bible Believers Chr,705 Farley Ave,Spartanburg,SC,29301
Evangel Cathedral,500 Evangel Rd,Spartanburg,SC,29301
United House-Prayer-All People,660 S Church St,Spartanburg,SC,29306
Second Presbyterian Church,342 Meeting St,Charleston,SC,29403
Bahai Assembly Of Spartanburg,331 Bryant Rd,Spartanburg,SC,29303
Sigsbee Church Of Christ,214 Parker Dr,Spartanburg,SC,29303
Bethel Assembly Of God,561 Upper Valley Falls Rd,Spartanburg,SC,29316
Fairforest Church Of God,2662 Fairforest Clevedale Rd,Spartanburg,SC,29301
Abundant Life Church Of God,115 Foster St,Varnville,SC,29944
"All Saints Church Spartanburg, Anglican, Amia",401 E Kennedy St,Spartanburg,SC,29302
Allen Chapel United Methodist Church,617 Highway 56,Spartanburg,SC,29302
Allen Chapel United Mthdst Chr,617 Cedar Springs Ave,Spartanburg,SC,29302
Shiloh Seventh-Day Adventist,PO Box 6235,North Charleston,SC,29405
Canaan Missionary Baptist Chr,1561 Mosstree Rd,North Charleston,SC,29405
Charity Baptist Church,1544 E Montague Ave,North Charleston,SC,29405
Deer Park Baptist Church,8875 University Blvd,North Charleston,SC,29406
Dorchester-Waylyn Baptist Chr,3914 Dorchester Rd,North Charleston,SC,29405
Ferndale Baptist Church,4870 Piedmont Ave,North Charleston,SC,29406
Hillcrest Baptist Church,1300 Anderson Dr,Williamston,SC,29697
Holmes Avenue Baptist Church,4602 Durant Ave,North Charleston,SC,29405
Lovely Mountain Baptist Church,6798 Ward Ave,North Charleston,SC,29406
Mt Moriah Baptist Church,PO Box 60225,North Charleston,SC,29419
Portside Baptist Church,1179 Remount Rd,North Charleston,SC,29406
Remount Baptist Day Care,1520 Remount Rd,North Charleston,SC,29406
Riverbluff Church,5421 River Bluff Pky,North Charleston,SC,29420
Royal Baptist Church,1807 Pearson St,North Charleston,SC,29405
St Matthew Baptist,2005 Reynolds Ave,North Charleston,SC,29405
Peace Lutheran Church,8315 Dorchester Rd,North Charleston,SC,29418
Midland Park United Methodist,2301 Midland Park Rd,North Charleston,SC,29406
North Charleston United Meth,1125 E Montague Ave,North Charleston,SC,29405
St Peters Ame Church,4650 Sanders Ave,North Charleston,SC,29405
Cathedral of Praise,3790 Ashley Phosphate Rd,North Charleston,SC,29418
Full Word Ministries,2730 Gordon St,North Charleston,SC,29405
Bethel Pentecostal Church,4914 Nesbit Ave,North Charleston,SC,29405
Life Christian Assembly,3001 Landing Pky,North Charleston,SC,29420
North Palm Ministry Ctr,PO Box 5261,North Charleston,SC,29405
World Harvest Ministries Inc,3441 W Montague Ave,North Charleston,SC,29418
God's House Of Worship,3818 Dorchester Rd,North Charleston,SC,29405
Christ Tabernacle Of Praise,8768 Salamander Rd,North Charleston,SC,29406
Three Wisemen Of Bethlehem,2150 Northwoods Blvd,North Charleston,SC,29406
Shekinah Glory Family Worship,5633 Dorchester Rd,North Charleston,SC,29418
God's House Of Compassion,4962 N Rhett Ave,North Charleston,SC,29405
Redeemed Church Of Christ,2124 Cosgrove Ave,North Charleston,SC,29405
New Beginnings Of Charlestown,112 Osburn Ave,North Charleston,SC,29420
Abyssinia Baptist Church,4656 Nesbit Ave,North Charleston,SC,29405
Advent Lutheran Church,3347 Rivers Ave,Charleston,SC,29405
Alpha ,2422 W Bryan St,Effingham,SC,29541
Anionted Temple Outreach,2024 Baker Dr,North Charleston,SC,29406
Apostolic Life Minsitry,4755 Rivers Ave,North Charleston,SC,29405
Arabian Temple,4132 Rivers Ave,North Charleston,SC,29405
Abner Creek Baptist Church,2210 Highway 101 S,Greer,SC,29651
Airport Baptist Church,1269 Boston Ave,West Columbia,SC,29170
Apalache Baptist Church,1915 Gap Creek Rd,Greer,SC,29651
Blue Ridge Baptist Church,3950 Pennington Rd,Greer,SC,29651
Burnview Baptist Church,9690 Reidville Rd,Greer,SC,29651
Community Baptist Church,642 S Suber Rd,Greer,SC,29650
Cross Roads Baptist Church,160 Cross Roads Church Rd,Easley,SC,29640
El Bethel Baptist Church,PO Box 2809,Greer,SC,29652
Enoree Fork Baptist Church,PO Box 171,Greer,SC,29652
Franklin Baptist Church,199 Hubert St,Greer,SC,29650
Maple Creek Baptist Church,609 S Main St,Greer,SC,29650
Mount Lebanon Baptist Church,572 Mt Lebanon Church Rd,Greer,SC,29651
New Jerusalem Baptist Church,PO Box 1343,Greer,SC,29652
People's Baptist Church,310 Victor Avenue Ext,Greer,SC,29651
Pleasant Grove Baptist Church,602 Pleasant Grove Rd,Forest,SC,29661
Pleasant Hill Baptist Church,3041 Six Mile Hwy,Central,SC,29630
Riverside Baptist Church,504 S Gossett St,Anderson,SC,29624
Second Baptist Church,655 Beech Island Ave,Beech Island,SC,29842
Suber Road Baptist Church,445 S Suber Rd,Greer,SC,29650
Victor Baptist Church,131 Maria Louisa Ln,Greenville,SC,29609
Blessed Trinity Catholic Chr,PO Box 1371,Greer,SC,29652
Heritage Bible Church,2005 Old Spartanburg Rd,Greer,SC,29650
Redeemer Lutheran Church,525 Saint Andrews Rd,Columbia,SC,29210
Covenant United Methodist Chr,1310 Old Spartanburg Rd,Greer,SC,29650
