Name,Address,City,State,Zip
Deliverance Temple Church-God,424 Ashwood Ave SW,Atlanta,GA,30315
Fellowship of Faith Church,PO Box 91760,Atlanta,GA,30364
Fountain of Praise,770 N Elizabeth Pl NW,Atlanta,GA,30318
Full Gospel Atlanta Church,2550 Henderson Mill Rd NE,Atlanta,GA,30345
Greater Fellowship Temple Chr,1591 Ralph David Abernathy Blvd SW,Atlanta,GA,30310
Greater New Macedonia Church,PO Box 91153,Atlanta,GA,30364
Life Center Family Church,2690 Mount Vernon Way,Atlanta,GA,30337
Mt Paran Church of God,2055 Mount Paran Rd NW,Atlanta,GA,30327
New Life Tabernacle Church-God,PO Box 6926,Atlanta,GA,30315
Pan African Orthodox Christian,960 Ralph David Abernathy Blvd SW,Atlanta,GA,30310
Paradise House of Prayer,2387 Summit Ave NW,Atlanta,GA,30318
True Light Baptist Church,47 Anderson Ave NW,Atlanta,GA,30314
Vision Ministries Holiness Chr,659 Larkin St SW,Atlanta,GA,30314
Visions of Unity Ministry Inc,1871 County Line Rd SW,Atlanta,GA,30331
Zion Full Gospel World Mnstry,PO Box 47986,Atlanta,GA,30362
Central Congregational Church,2676 Clairmont Rd NE,Atlanta,GA,30329
Central Presbyterian Church,PO Box 5575,Athens,GA,30604
Christ Church Presbyterian,60 Peachtree Park Dr NE,Atlanta,GA,30309
Covenant Presbyterian Church,819 Highway 314,Fayetteville,GA,30214
Druid Hills Presbyterian Chr,1026 Ponce de Leon Ave NE,Atlanta,GA,30306
Emory Presbyterian Church,1886 N Decatur Rd NE,Atlanta,GA,30307
First Congregational Church,105 Courtland St NE,Atlanta,GA,30303
First Presbyterian Church,1349 Macon Rd,Griffin,GA,30224
Morningside Presbyterian,1411 N Morningside Dr NE,Atlanta,GA,30306
Mt Vernon Presbyterian Church,471 Mount Vernon Hwy NW,Atlanta,GA,30327
New Life Presbyterian Church,6600 Old National Hwy,Atlanta,GA,30349
North Avenue Presbyterian Chr,607 Peachtree St NE,Atlanta,GA,30308
Northwest Presbyterian Church,4300 Northside Dr NW,Atlanta,GA,30327
Peachtree Presbyterian Church,3434 Roswell Rd NW,Atlanta,GA,30305
Providence Presbyterian Church,4011 Chamblee Dunwoody Rd,Atlanta,GA,30341
Radcliffe Presbyterian Church,286 Hamilton E Holmes Dr NW,Atlanta,GA,30318
Rock Spring Presbyterian Chr,1824 Piedmont Ave NE,Atlanta,GA,30324
Shallowford Presbyterian Chr,2375 Shallowford Rd NE,Atlanta,GA,30345
St Andrew Presbyterian Church,5855 Riverside Dr NW,Atlanta,GA,30327
Westminster Presbyterian Chr,4303 Wheeler Rd,Martinez,GA,30907
Young-Nak Presbyterian Church,3100 Oakcliff Rd,Atlanta,GA,30340
Fellowship Of Faith Worship Ce,418 Decatur St SE,Atlanta,GA,30312
Rock Church Of Atlanta,638 Glenwood Ave SE,Atlanta,GA,30312
United House Of Prayer,494 Emery Hwy,Macon,GA,31217
Our Lady Of Assumption,1350 Hearst Dr NE,Atlanta,GA,30319
Agape Church Of God,3761 Adamsville Dr SW,Atlanta,GA,30331
Christian Church Of Living,1020 Smith St SW,Atlanta,GA,30310
Vision Church Of Atlanta,704 Ormewood Ave SE,Atlanta,GA,30312
