style,color,url
D1446, Navy-wht,https://www.dropbox.com/s/l91o0h1kfqx7zdz/D1446%20Navy-wht_wm.jpg?dl=1
D1446, Red-black,https://www.dropbox.com/s/zvjw21tgkr4a2mk/D1446%20Red-black_wm.jpg?dl=1
D1446, White-blk,https://www.dropbox.com/s/zolprh1ytcadeky/D1446%20White-blk_wm.jpg?dl=1
D1449, Royal-blk,https://www.dropbox.com/s/tofn0ibdef2bnhb/D1449%20Royal-blk_dress_wm.jpg?dl=1
D1449, Royal-blk,https://www.dropbox.com/s/elvy4u3netpdhyh/D1449%20Royal-blk_wm.jpg?dl=1
D1450, Black,https://www.dropbox.com/s/hrjfz7zqunhdiil/D1450%20Black_wm.jpg?dl=1
D1450, Ivory,https://www.dropbox.com/s/0kuk9d8lazumkpa/D1450%20Ivory_1_wm.jpg?dl=1
D1450, Ivory,https://www.dropbox.com/s/0augw0u42ium15m/D1450%20Ivory_2_wm.jpg?dl=1
D1450, Lime,https://www.dropbox.com/s/zh7umf1c5iddflr/D1450%20Lime_wm.jpg?dl=1
D1450, Purple,https://www.dropbox.com/s/09i6bcaqmqz8yqu/D1450%20Purple_wm.jpg?dl=1
D1450, Royal,https://www.dropbox.com/s/9dnv77d17jsh2rr/D1450%20Royal_back_wm.jpg?dl=1
D1450, Royal,https://www.dropbox.com/s/8hbymgpfruyg05i/D1450%20Royal_wm.jpg?dl=1
D1451, Black,https://www.dropbox.com/s/235zf639d6jdah1/D1451%20Black_wm.jpg?dl=1
D1451, Cranberry,https://www.dropbox.com/s/w8lm92gp0ova2pz/D1451%20Cranberry_wm.jpg?dl=1
D1451, White,https://www.dropbox.com/s/f0txu3t97lemthu/D1451%20White_wm.jpg?dl=1
D1453, Black,https://www.dropbox.com/s/pnjsavqs29uc7w0/D1453%20Black_wm.jpg?dl=1
D1453, Ice blue,https://www.dropbox.com/s/1u0f9kx3wnrfkd1/D1453%20Ice%20blue_wm.jpg?dl=1
D1453, Pink,https://www.dropbox.com/s/stzm2wcxbi5vrbc/D1453%20Pink_wm.jpg?dl=1
D1453, White,https://www.dropbox.com/s/8ge44fulhuxr16b/D1453%20White_wm.jpg?dl=1
D1455, Black,https://www.dropbox.com/s/6o4jh0g7jyr4cfx/D1455%20Black_wm.jpg?dl=1
D1455, Lavender,https://www.dropbox.com/s/qfvyk2whua5ol6k/D1455%20Lavender_back_wm.jpg?dl=1
D1455, Lavender,https://www.dropbox.com/s/te0kx7u37nt4arv/D1455%20Lavender_wm.jpg?dl=1
D1455, White,https://www.dropbox.com/s/gn105bwb9hbq55x/D1455%20White_wm.jpg?dl=1
D1457, White-blue,https://www.dropbox.com/s/wgegc366tuhnctp/D1457%20White-blue_wm.jpg?dl=1
D1457, White-pink,https://www.dropbox.com/s/h4m5lvabs9t24lp/D1457%20White-pink_wm.jpg?dl=1
D1458, Burgundy,https://www.dropbox.com/s/h46yv8nvkfu7zl9/D1458%20Burgundy_dress_wm.jpg?dl=1
D1458, Burgundy,https://www.dropbox.com/s/1d2dc8vwp2rnehk/D1458%20Burgundy_wm.jpg?dl=1
D1458, Green,https://www.dropbox.com/s/vwx8je9lclc35kv/D1458%20Green_wm.jpg?dl=1
D1458, Navy,https://www.dropbox.com/s/r4na4b0d9fhmi3d/D1458%20Navy_wm.jpg?dl=1
D1458, Pink,https://www.dropbox.com/s/aaa6nsbkl8gcj5z/D1458%20Pink_1_wm.jpg?dl=1
D1458, Pink,https://www.dropbox.com/s/py2m7ib91hgytmk/D1458%20Pink_2_wm.jpg?dl=1
D1458, White,https://www.dropbox.com/s/zo24bb2ni1l0dsp/D1458%20White_wm.jpg?dl=1
D1459, Denim blue,https://www.dropbox.com/s/eihxzr7httm3ya1/D1459%20Denim%20blue_back_wm.jpg?dl=1
D1459, Denim Blue,https://www.dropbox.com/s/m5dyxa8vn9jsnzw/D1459%20Denim%20Blue_dress_wm.jpg?dl=1
D1459, Denim blue,https://www.dropbox.com/s/tq889bcnctwj0b5/D1459%20Denim%20blue_wm.jpg?dl=1
D1459, Orange,https://www.dropbox.com/s/2gunvgykj1evtcm/D1459%20Orange_wm.jpg?dl=1
D1462, Violet,https://www.dropbox.com/s/cb2z3j5mhe33nvr/D1462%20Violet_wm.jpg?dl=1
D1463, Black,https://www.dropbox.com/s/c87xqhee1ig7y31/D1463%20Black_dress_wm.jpg?dl=1
D1463, Black,https://www.dropbox.com/s/dfjr5oysjwp1vmi/D1463%20Black_wm.jpg?dl=1
D1465, Jade,https://www.dropbox.com/s/iwcbf0vy4n22tm0/D1465%20Jade_wm.jpg?dl=1
D1467, Lilac-blk,https://www.dropbox.com/s/325umqawxljv2xn/D1467%20Lilac-blk_wm.jpg?dl=1
D1467, Orange-blk,https://www.dropbox.com/s/6khizusey1zgrbr/D1467%20Orange-blk_back_wm.jpg?dl=1
D1467, Orange-blk,https://www.dropbox.com/s/z28yw3e1m3h439e/D1467%20Orange-blk_wm.jpg?dl=1
D1468, Lime-wht,https://www.dropbox.com/s/m8iht35lp8srt32/D1468%20Lime-wht_wm.jpg?dl=1
D1468, Pink-wht,https://www.dropbox.com/s/ac8qbzml8u9ivxw/D1468%20Pink-wht_back_wm.jpg?dl=1
D1468, Pink-wht,https://www.dropbox.com/s/0hmqgt7fuy0mzer/D1468%20Pink-wht_wm.jpg?dl=1
D1468, White,https://www.dropbox.com/s/e2tcpli8xj3q1l6/D1468%20White_wm.jpg?dl=1
D1468, Yellow-wht,https://www.dropbox.com/s/3caigaxxbb6kwsm/D1468%20Yellow-wht_wm.jpg?dl=1
D1469, Gold-blk,https://www.dropbox.com/s/38jyhyz61uul6rz/D1469%20Gold-blk_wm.jpg?dl=1
D1469, Red-blk,https://www.dropbox.com/s/hd0ahr7460gt3je/D1469%20Red-blk_back_wm.jpg?dl=1
D1469, Red-blk,https://www.dropbox.com/s/glwx87db4j8m9z7/D1469%20Red-blk_wm.jpg?dl=1
D1469, White,https://www.dropbox.com/s/4ldh1hyfyqcxjmk/D1469%20White_wm.jpg?dl=1
D1472, Purple,https://www.dropbox.com/s/docubzl5rav6d5e/D1472%20Purple_back_wm.jpg?dl=1
D1472, Purple,https://www.dropbox.com/s/egekr4fbn90422v/D1472%20Purple_wm.jpg?dl=1
