style,color,sizes,image file
#D1467W,LILAC/BLK,#14W-24W,D1467 Lilac-blk_wm.jpg
#D1467W,ORANGE/BLK,#14W-24W,D1467 Orange-blk_back_wm.jpg
#D1468,PINK/WHT,#8-18,D1468 Pink-wht_back_wm.jpg
#D1468,WHT,#8-18,D1468 Lime-wht_wm.jpg
#D1468,YELLOW/WHT,#8-18,D1468 Yellow-wht_wm.jpg
#D1468W,LIME/WHT,#14W-24W,D1468 Lime-wht_wm.jpg
#D1468W,PINK/WHT,#14W-26W,D1468 Pink-wht_back_wm.jpg
#D1468W,YELLOW/WHT,#14W-26W,D1468 Yellow-wht_wm.jpg
#D1469W,GLD/BLK,#16W-24W,D1469 Gold-blk_wm.jpg
#D1469W,RED/BLK,#16W-24W,D1469 Red-blk_back_wm.jpg
#D1469W,WHT,#14W-26W,D1469 White_wm.jpg
#D1473,BLK,#12-18,D1473 Black_back_wm.jpg
#D1473,NAVY,#12-18,D1473 Navy_wm.jpg
#D1473W,BLK,#14W-24W,D1473 Black_back_wm.jpg
#D1474,BLK,#10-18,D1474 Black_1_wm.jpg
#D1474,IVY,#10-18,D1474 Ivory_back_wm.jpg
#D1474W,BLK,#14W-24W,D1474 Black_1_wm.jpg
#D1474W,IVY,#14W-24W,D1474 Ivory_back_wm.jpg
#D1475,DENIMBLUE,"#M,L,XL,1X,2X",D1475 Denim Blue_1_wm.jpg
#D1475,KHAKI,"#M,L,XL,1X,2X",D1475 Khaki_1_wm.jpg
#D1475,LAV,"#M,L,XL,1X,2X",D1475 Lavender_wm.jpg
#D1475,WHT,"#M,L,XL,1X,2X",D1475 White_1_wm.jpg
#D1476,DENIMBLUE,#S-2X,D1476 Denim blue_wm.jpg
#D1476,LAV,"#M,L,XL,1X,2X",D1476 Lavender_1_wm.jpg
#D1477,PINK,"#M,L,XL,1X,2X",D1477 Pink_wm.jpg
#D1477,WHT,"#M,L,XL,1X,2X",D1477 White_back_wm.jpg
#D1477L,DENIM,"#M,L,XL,1X,2X,3X",N/A
#D1477L,WHT,"#M,L,XL,1X,2X,3X",N/A
#D1479,BLK,#10-18,D1479 Black_wm.jpg
#D1479,BLUE,#10-18,D1479 Ice blue_wm.jpg
#D1479,PURPLE,#10-18,D1479 Purple_back_wm.jpg
#D1479W,BLK,#14W-26W,D1479 Black_wm.jpg
#D1479W,PURPLE,#14W-26W,D1479 Purple_back_wm.jpg
#D1481,HP,#10-18,D1481 Hot Pink_wm.jpg
#D1481W,HP,#14W-24W,D1481 Hot Pink_wm.jpg
#D1483,BLACK/GREEN,#10-18,D1483 Black-green_wm.jpg
#D1483,W/B,#10-18,D1483 White-blk_1_wm.jpg
#D1483,WHT/LV,#10-18,D1483 White-lav_wm.jpg
#D1483W,BLACK/GREEN,#14W-24W,D1483 Black-green_wm.jpg
#D1483W,W/B,#14W-24W,D1483 White-blk_1_wm.jpg
#D1483W,WHT/LV,#14W-24W,D1483 White-lav_wm.jpg
#D1484,LEMONYEL,#8-18,D1484 Lemon yellow_back_wm.jpg
#D1484,LIME,#8-18,D1484 Lime_wm.jpg
#D1484W,LEMONYEL,#14W-24W,D1484 Lemon yellow_back_wm.jpg
#D1484W,LIME,#14W-24W,D1484 Lime_wm.jpg
#D1485,DK.LIME,#8-18,D1485 Dk. Lime_wm.jpg
#D1485,ICEBLUE,#8-18,D1485 Ice blue_back_wm.jpg
#D1485,ROSEPINK,#10-18,D1485 Rose Pink_back_wm.jpg
#D1485W,DK.LIME,#14W-26W,D1485 Dk. Lime_wm.jpg
#D1486,NAVY,#10-18,D1486 Navy_wm.jpg
#D1486,WHT,#10-18,D1486 White_back_wm.jpg
#D1486W,NAVY,#16W-26W,D1486 Navy_wm.jpg
#D1488,PUR/TURQ,#8-18,D1488 Purple-turq_wm.jpg
#D1488W,PUR/TURQ,#14W-26W,D1488 Purple-turq_wm.jpg
#D1489,DENIMBLUE,"#M,L,XL,1X,2X",D1489 Denim blue_back_wm.jpg
#D1489,PINK,"#M,L,XL,1X,2X",D1489 Pink_wm.jpg
#D1490,WHT,#10-18,D1490 White_1_wm.jpg
#D1490W,WHT,#14W-24W,D1490 White_1_wm.jpg
#D1491,CHAM,#8-18,D1491 Champagne_back_wm.jpg
#D1492,LIMEGREEN,#8-18,D1492 Lime green_1_wm.jpg
#D1492W,LIMEGREEN,#14W-26W,D1492 Lime green_1_wm.jpg
#D1493W,SIL,#14W-26W,D1493 Silver_back_wm.jpg
#D1493W,WHT,#14W-26W,D1493 White_wm.jpg
#D1494,IVY,#10-18,D1494 Ivory_1_wm.jpg
#D1494,PINK,#10-18,D1494 Pink_wm.jpg
#D1494W,IVY,#14W-26W,D1494 Ivory_1_wm.jpg
#D1494W,PINK,#14W-26W,D1494 Pink_wm.jpg
#D1495,NAVY,#10-18,D1495 Navy_back_wm.jpg
#D1495,WHT,#10-18,D1495 White_wm.jpg
#D1495W,NAVY,#14W-26W,D1495 Navy_back_wm.jpg
#D1495W,WHT,#14W-26W,D1495 White_wm.jpg
#D1496,BLUE,#10-18,D1496 Blue_1_wm.jpg
#D1496W,BLUE,#14W-24W,D1496 Blue_1_wm.jpg
#D1497W,LIMEGREEN,#14W-24W,D1497 Lime green_back_wm.jpg
#D1498,NAVY,#10-18,D1498 Navy_1_wm.jpg
#D1498,PUR/GLD,#10-18,D1498 Purple-gold_wm.jpg
#D1498,RED/BLK,#10-18,D1498 Red-blk_wm.jpg
#D1498W,NAVY,#14W-24W,D1498 Navy_1_wm.jpg
#D1498W,PUR/GLD,#14W-24W,D1498 Purple-gold_wm.jpg
#D1498W,RED/BLK,#14W-24W,D1498 Red-blk_wm.jpg
#D1499,CHAM,#8-18,D1499 Champagne_wm.jpg
#D1499,WHT,#8-18,D1499 White_wm.jpg
#D1499W,CHAM,#14W-24W,D1499 Champagne_wm.jpg
#D1499W,WHT,#14W-24W,D1499 White_wm.jpg
#D1500,IVY,#8-18,D1500 Ivory_1_wm.jpg
#D1500W,IVY,#14W-24W,D1500 Ivory_1_wm.jpg
#D1501,BLK,#8-18,D1501 Black leopard_back_wm.jpg
#D1501W,BLK,#14W-24W,D1501 Black leopard_back_wm.jpg
#D1502,BLK/GRN,#8-18,D1502 Black-green_wm.jpg
#D1502,BLK/PNK,#8-18,D1502 Black-pink_wm.jpg
#D1502W,BLK/GRN,#14W-24W,D1502 Black-green_wm.jpg
#D1502W,BLK/PNK,#14W-24W,D1502 Black-pink_wm.jpg
#D1503,A.GRN,#10-18,D1503 Apple Green_back_wm.jpg
#D1503,PURPLE,#10-18,D1503 Purple_wm.jpg
#D1503,WHT,#10-18,D1503 White_dress_wm.jpg
